nconst,ratings,group,category,primaryName
nm0000134,7.8,18,actor,Robert De Niro
nm0000138,7.95,13,actor,Leonardo DiCaprio
nm0000146,8.1,7,actor,Ralph Fiennes
nm0000288,8.1,8,actor,Christian Bale
nm0000379,7.2,17,actress,Kirsten Dunst
nm0000531,8.1,1,actress,Frances McDormand
nm0001122,7.3,14,actress,Ellen DeGeneres
nm0001557,8.2,6,actor,Viggo Mortensen
nm0005253,7.1,18,actress,Elisabeth Moss
nm0010736,7.9,4,actress,Amy Adams
nm0059431,8.1,9,actor,Jay Baruchel
nm0068338,7.4,12,actress,Kristen Bell
nm0185819,7.85,17,actor,Daniel Craig
nm0262635,7.8,19,actor,Chris Evans
nm0267812,7.3,15,actress,Vera Farmiga
nm0334882,8.1,10,actor,Darío Grandinetti
nm0378245,7.8,5,actress,Taraji P. Henson
nm0428065,7.8,6,actress,Felicity Jones
nm0488953,7.45,11,actress,Brie Larson
nm0586568,8.3,5,actor,Mads Mikkelsen
nm0601553,7.7,7,actress,Mandy Moore
nm0647634,7.7,8,actress,Elizabeth Olsen
nm0688132,8.1,2,actress,Amy Poehler
nm0814280,8.6,1,actor,Kang-ho Song
nm1020089,7.3,16,actress,Sally Hawkins
nm1126340,8.4,3,actor,Ryûnosuke Kamiki
nm1289434,7.4,13,actress,Emily Blunt
nm1297015,8,3,actress,Emma Stone
nm1519680,7.6,9,actress,Saoirse Ronan
nm1886602,8.5,2,actor,Miles Teller
nm1940449,8.1,11,actor,Andrew Garfield
nm2309517,7.9,14,actor,Armie Hammer
nm2353862,8,12,actor,Dev Patel
nm3485845,7.9,15,actor,Adam Driver
nm4271336,8.4,4,actor,Shameik Moore
nm5397459,7.06666666666667,20,actress,Daisy Ridley
nm6073955,7.1,19,actress,Florence Pugh
nm6578009,7.8,20,actor,O'Shea Jackson Jr.
nm7635388,7.6,10,actress,Auli'i Cravalho
nm9877392,7.9,16,actor,Roman Griffin Davis
