startYear,genres,y,per
2010,Action,9775,0.0525975947698351
2010,Biography,3919,0.021087465360919
2010,Comedy,49874,0.268363421130512
2010,Documentary,27216,0.146444617826684
2010,Drama,65234,0.351012940891603
2010,Horror,4376,0.0235465038069359
2010,Romance,22187,0.119384433264279
2010,Thriller,3264,0.0175630229492319
2011,Action,11680,0.0564422988639054
2011,Biography,4224,0.0204120094521521
2011,Comedy,58849,0.284381236801539
2011,Documentary,30120,0.145551544673016
2011,Drama,70010,0.338315525981337
2011,Horror,5460,0.0263848417634352
2011,Romance,22564,0.109038016401127
2011,Thriller,4030,0.0194745260634879
2012,Action,12371,0.0550252642066683
2012,Biography,4522,0.0201135110130591
2012,Comedy,66657,0.29648525068498
2012,Documentary,33344,0.148311568159983
2012,Drama,74883,0.333073871116963
2012,Horror,6115,0.0271990534818347
2012,Romance,21539,0.0958038287727289
2012,Thriller,5393,0.0239876525637832
2013,Action,13441,0.056968114639801
2013,Biography,5204,0.0220565485146585
2013,Comedy,73465,0.311372854848075
2013,Documentary,34769,0.147364361127241
2013,Drama,74883,0.317382882863791
2013,Horror,6580,0.0278885644170739
2013,Romance,22642,0.0959654826035543
2013,Thriller,4955,0.0210011909858057
2014,Action,14063,0.055215928320985
2014,Biography,5454,0.0214141842467932
2014,Comedy,78339,0.307584484728553
2014,Documentary,35846,0.140743096536587
2014,Drama,81433,0.319732538644868
2014,Horror,7098,0.0278690648668386
2014,Romance,26712,0.104880031096505
2014,Thriller,5746,0.0225606715588694
2015,Action,14406,0.0552862751418999
2015,Biography,4995,0.0191694394234201
2015,Comedy,81944,0.314478587409957
2015,Documentary,38060,0.146063836727802
2015,Drama,82478,0.316527932885855
2015,Horror,7849,0.0301223083152001
2015,Romance,24651,0.0946037740193652
2015,Thriller,6188,0.0237478460765012
2016,Action,14538,0.0548347188485388
2016,Biography,3943,0.0148722861755254
2016,Comedy,85926,0.324097403479127
2016,Documentary,40062,0.151106651981714
2016,Drama,81972,0.309183627283837
2016,Horror,8152,0.0307478764653521
2016,Romance,23553,0.088837675955402
2016,Thriller,6978,0.0263197598105038
2017,Action,16105,0.0575521829090922
2017,Biography,4610,0.0164741113449808
2017,Comedy,86000,0.307326155242591
2017,Documentary,40372,0.144271762086673
2017,Drama,91303,0.326276743629236
2017,Horror,9143,0.0326730585742211
2017,Romance,24576,0.0878238092004874
2017,Thriller,7724,0.0276021770127183
2018,Action,15770,0.0568650995409685
2018,Biography,4315,0.015559473970785
2018,Comedy,81966,0.295561493276793
2018,Documentary,39151,0.141174731270035
2018,Drama,92496,0.333531658030528
2018,Horror,9535,0.0343822906863116
2018,Romance,25793,0.0930070711769309
2018,Thriller,8297,0.0299181820476484
2019,Action,14429,0.0565262357891108
2019,Biography,3997,0.0156584215433555
2019,Comedy,73721,0.288805227570104
2019,Documentary,36683,0.143707249806082
2019,Drama,86752,0.339854737485407
2019,Horror,9378,0.03673872335091
2019,Romance,22397,0.0877412227436908
2019,Thriller,7905,0.0309681817113397
2020,Action,11987,0.0568489545047117
2020,Biography,2819,0.0133692502501695
2020,Comedy,66525,0.31549818123183
2020,Documentary,35185,0.166866644218594
2020,Drama,62102,0.294521879757371
2020,Horror,8766,0.0415731988978312
2020,Romance,15967,0.0757243060462778
2020,Thriller,7506,0.0355975850932148
