startYear,category,low_age,med_age,high_age
1906,actor,42,42,42
1906,actress,27,27,27
1907,actor,33,33,33
1908,actress,19.75,20.5,21.25
1909,actor,24,28,34
1909,actress,19,22,22
1910,actor,37,41,42
1910,actress,23,25,33
1911,actor,27.25,31.5,38.75
1911,actress,19,28,30
1912,actor,35.75,40.5,48
1912,actress,20,25,28.75
1913,actor,31,35.5,41.75
1913,actress,23.25,27.5,39.25
1914,actor,32,38,45
1914,actress,22,25,30
1915,actor,32,37,46.25
1915,actress,23,26,33
1916,actor,33.25,37,42
1916,actress,22,26,31
1917,actor,33,36,41
1917,actress,22,25,32
1918,actor,33.5,39,43.5
1918,actress,21,25,30.75
1919,actor,33,39,43
1919,actress,22,25,26
1920,actor,31,37,41.75
1920,actress,24,27,32
1921,actor,32.75,38,44.25
1921,actress,23,26,29
1922,actor,31,37,43
1922,actress,23,26,30
1923,actor,30,36,43
1923,actress,24,27,30
1924,actor,29,34,41.25
1924,actress,25,27,31.5
1925,actor,29,34,42
1925,actress,24,28,31
1926,actor,30,35,42
1926,actress,24,28,31.25
1927,actor,30,36,43
1927,actress,24,28,31
1928,actor,30,36,43
1928,actress,24,27,32
1929,actor,30,36,43
1929,actress,24,27,32
1930,actor,30,37,43
1930,actress,24,27,32
1931,actor,32,38,43
1931,actress,25,27,32
1932,actor,30,36,45
1932,actress,23,27,32
1933,actor,32,40,45.5
1933,actress,25,28,34
1934,actor,32,39,45
1934,actress,25,28,34
1935,actor,32,37,44
1935,actress,25,29,35
1936,actor,32,37,45.25
1936,actress,23,27,33
1937,actor,32,37,45
1937,actress,23.75,28,34
1938,actor,32,38,46
1938,actress,23.75,29,34
1939,actor,35,41.5,49.5
1939,actress,21,26.5,30.75
1940,actor,35,38.5,52
1940,actress,28,33,42
1941,actor,34,39.5,46
1941,actress,26.25,31,41.75
1942,actor,31,38,46
1942,actress,25,29,34
1943,actor,33,39,46
1943,actress,25,29,34
1944,actor,34,40,47
1944,actress,24,29,34
1945,actor,35,40,47
1945,actress,23,29,35
1946,actor,34,40,46
1946,actress,24,29,35
1947,actor,33,39,46
1947,actress,25,30.5,35
1948,actor,33,39,45
1948,actress,26,31,36
1949,actor,33,38,46
1949,actress,24.25,30,37
1950,actor,31,38,45
1950,actress,23,28,36
1951,actor,33,39,47
1951,actress,22,26.5,31
1952,actor,32,40,49
1952,actress,21,25,30
1953,actor,30,40,52
1953,actress,24,26.5,32
1954,actor,32,38,46
1954,actress,24,27,32
1955,actor,32,39,47
1955,actress,24,29,35
1956,actor,33,41,48
1956,actress,25,31,36
1957,actor,32.75,39,46
1957,actress,24.25,28,35
1958,actor,30,37,46
1958,actress,24,28,35
1959,actor,31.25,38,46
1959,actress,23.25,28,33
1960,actor,32,37,46.25
1960,actress,24,28,34
1961,actor,31,37,44
1961,actress,22.5,28,34.5
1962,actor,31,37,46
1962,actress,24.75,29,36
1963,actor,32,38,46
1963,actress,24,29,35
1964,actor,31.25,37,44
1964,actress,22,27,33
1965,actor,30.5,37,44
1965,actress,23,27,34
1966,actor,30,38,45
1966,actress,21,27,32
1967,actor,30,36,42
1967,actress,22,25,32.5
1968,actor,31,37,44
1968,actress,23,26,31.5
1969,actor,30,37,44
1969,actress,23.75,27,34
1970,actor,30,37,44
1970,actress,23.75,26.5,34
1971,actor,31,37,46
1971,actress,24,29,36
1972,actor,31,38,45
1972,actress,25,29,36
1973,actor,31,38,47
1973,actress,25,28,35
1974,actor,32,38,46
1974,actress,26,29,36
1975,actor,32,38,47
1975,actress,24,28,36.75
1976,actor,32,39,48
1976,actress,24,29,37
1977,actor,32,39,48
1977,actress,25,29,38
1978,actor,32,39,48
1978,actress,25,30,39
1979,actor,32,39.5,49
1979,actress,25,30,37.75
1980,actor,31,38,46
1980,actress,25,28.5,36.75
1981,actor,31,39,46
1981,actress,26,29.5,37
1982,actor,32,40,49
1982,actress,26,29,34
1983,actor,31,39,46.5
